"","long","lat","group","order","region","subregion"
"50710",92.6402359008789,11.5091304779053,835,50710,"India","Rutland Island"
"50719",92.9957962036133,12.0317869186401,836,50719,"India","Havelock Island"
"50728",92.7175750732422,12.8648929595947,837,50728,"India","Interview Island"
"50737",92.6075210571289,11.9495115280151,838,50737,"India","Andaman Islands"
"50745",92.7340774536133,12.3359384536743,838,50745,"India","Andaman Islands"
"50753",92.8308563232422,13.0026359558105,838,50753,"India","Andaman Islands"
"50761",93.07666015625,13.4006834030151,838,50761,"India","Andaman Islands"
"50769",92.88623046875,12.9422855377197,838,50769,"India","Andaman Islands"
"50777",92.7862243652344,12.03466796875,838,50777,"India","Andaman Islands"
"50786",77.7994155883789,35.4958992004395,839,50786,"India",NA
"50794",78.0474548339844,35.4494132995605,839,50794,"India",NA
"50802",78.5157241821289,34.5579605102539,839,50802,"India",NA
"50810",78.9317321777344,34.18896484375,839,50810,"India",NA
"50818",78.8650360107422,33.4311027526855,839,50818,"India",NA
"50826",79.1216735839844,33.1081047058105,839,50826,"India",NA
"50834",79.23388671875,32.7030754089355,839,50834,"India",NA
"50842",78.9189453125,32.3582038879395,839,50842,"India",NA
"50850",78.4124984741211,32.5577163696289,839,50850,"India",NA
"50858",78.677734375,32.0230484008789,839,50858,"India",NA
"50866",78.7550811767578,31.55029296875,839,50866,"India",NA
"50874",78.9459991455078,31.3372077941895,839,50874,"India",NA
"50882",79.3884735107422,31.064208984375,839,50882,"India",NA
"50890",80.0814514160156,30.7819347381592,839,50890,"India",NA
"50898",80.541015625,30.4635238647461,839,50898,"India",NA
"50906",80.9076232910156,30.1719226837158,839,50906,"India",NA
"50914",80.2548828125,29.4233417510986,839,50914,"India",NA
"50922",80.1496047973633,28.7760753631592,839,50922,"India",NA
"50930",80.6712875366211,28.5962390899658,839,50930,"India",NA
"50938",81.3108444213867,28.1763668060303,839,50938,"India",NA
"50946",82.0370101928711,27.9005870819092,839,50946,"India",NA
"50954",82.9328155517578,27.4676761627197,839,50954,"India",NA
"50962",83.7469711303711,27.3959465026855,839,50962,"India",NA
"50970",84.6407241821289,27.2498531341553,839,50970,"India",NA
"50978",85.1515655517578,26.8466300964355,839,50978,"India",NA
"50986",85.6998977661133,26.7816410064697,839,50986,"India",NA
"50994",86.3661193847656,26.5744132995605,839,50994,"India",NA
"51002",87.1668014526367,26.3942375183105,839,51002,"India",NA
"51010",88.0269546508789,26.39501953125,839,51010,"India",NA
"51018",88.0241165161133,27.4088859558105,839,51018,"India",NA
"51026",88.1089859008789,27.9330081939697,839,51026,"India",NA
"51034",88.7562561035156,28.0396976470947,839,51034,"India",NA
"51042",88.8914108276367,27.3160648345947,839,51042,"India",NA
"51050",88.9191360473633,26.9322261810303,839,51050,"India",NA
"51058",89.6091766357422,26.76220703125,839,51058,"India",NA
"51066",90.2423858642578,26.8541507720947,839,51066,"India",NA
"51074",91.2865219116211,26.7899417877197,839,51074,"India",NA
"51082",91.9437484741211,26.86083984375,839,51082,"India",NA
"51090",92.0025405883789,27.1473636627197,839,51090,"India",NA
"51098",91.6581039428711,27.4936027526855,839,51098,"India",NA
"51106",91.9093780517578,27.7296867370605,839,51106,"India",NA
"51114",92.4148406982422,27.8246097564697,839,51114,"India",NA
"51122",92.6525421142578,28.0933589935303,839,51122,"India",NA
"51130",93.3605422973633,28.6540546417236,839,51130,"India",NA
"51138",94.1934585571289,29.0599098205566,839,51138,"India",NA
"51146",94.9674835205078,29.1440410614014,839,51146,"India",NA
"51154",95.4937515258789,29.1370124816895,839,51154,"India",NA
"51162",96.1947250366211,29.2724590301514,839,51162,"India",NA
"51170",96.1414108276367,28.9634761810303,839,51170,"India",NA
"51178",96.5808639526367,28.763671875,839,51178,"India",NA
"51186",96.3664093017578,28.3672847747803,839,51186,"India",NA
"51194",97.0753860473633,28.3689441680908,839,51194,"India",NA
"51202",97.3351516723633,27.937744140625,839,51202,"India",NA
"51210",96.8835983276367,27.5148429870605,839,51210,"India",NA
"51218",96.7316360473633,27.3314933776855,839,51218,"India",NA
"51226",95.7383804321289,26.950439453125,839,51226,"India",NA
"51234",95.0689468383789,26.1911125183105,839,51234,"India",NA
"51242",94.9457015991211,25.7002449035645,839,51242,"India",NA
"51250",94.5665054321289,25.1915035247803,839,51250,"India",NA
"51258",94.3994140625,24.5140628814697,839,51258,"India",NA
"51266",93.85546875,23.9438953399658,839,51266,"India",NA
"51274",93.3262710571289,24.064208984375,839,51274,"India",NA
"51282",93.3080062866211,23.0303707122803,839,51282,"India",NA
"51290",93.0881805419922,22.6332530975342,839,51290,"India",NA
"51298",93.02197265625,22.1457042694092,839,51298,"India",NA
